Date,ticker,Close,return_1d,volatility_30d,momentum_30d,ma_50_ratio,ma_200_ratio,drawdown,vix_close,target_return_1d,target_direction_1d,regime,regime_label,regime_0_prob,regime_1_prob,regime_2_prob
2011-12-02,^GSPC,1244.280029296875,-0.0002409863314554,0.0190062733748618,0.023770159619745,0.0281139299377299,,-0.0875103272464832,27.520000457763672,0.0102870145436999,1,2,Crisis,1.9795807341995756e-34,2.10963081302549e-05,0.9999789036916578
2011-12-05,^GSPC,1257.0799560546875,0.0102870145436999,0.0187927604120924,0.0152069097958307,0.0366233404507294,,-0.0781235327118917,27.84000015258789,0.0011057487964409,1,2,Crisis,4.3263151729132177e-32,7.474431326699817e-06,0.9999925255685533
2011-12-06,^GSPC,1258.469970703125,0.0011057487964409,0.0186516272179179,0.0034125846138393,0.0361372862079758,,-0.0771041689177206,28.1299991607666,0.0020183549243377,1,2,Crisis,1.669270693178842e-30,1.7752947228879073e-05,0.9999822470529279
2011-12-07,^GSPC,1261.010009765625,0.0020183549243377,0.0182532539386214,0.0260037912760129,0.0367666999278863,,-0.0752414375724048,28.670000076293945,-0.0211418101150859,0,2,Crisis,1.865507012460668e-27,7.403447904180867e-05,0.9999259655209404
2011-12-08,^GSPC,1234.3499755859375,-0.0211418101150859,0.0185966073289716,-0.0061594399469102,0.0134595691772201,,-0.0947925075015488,30.59000015258789,0.0168833525600549,1,2,Crisis,4.223134917881657e-31,5.4659111180202106e-06,0.9999945340886595
2011-12-09,^GSPC,1255.18994140625,0.0168833525600549,0.0177403285719598,-0.0228866994109581,0.0289685338259433,,-0.0795095702656943,26.3799991607666,-0.0149140541089359,0,2,Crisis,1.4986136500820376e-32,1.3676481041937235e-06,0.9999986323519154
2011-12-12,^GSPC,1236.469970703125,-0.0149140541089359,0.0179293338137497,-0.0378339232352125,0.0118796426366387,,-0.0932378143415095,25.670000076293945,-0.0086860097607285,0,2,Crisis,8.698669261902891e-35,4.0228523691125574e-07,0.9999995977146582
2011-12-13,^GSPC,1225.72998046875,-0.0086860097607285,0.0174331699733634,-0.0219979791632131,0.0010178836509766,,-0.1011139595367986,25.40999984741211,-0.0113483674229523,0,2,Crisis,1.4164887535585102e-34,2.7692312481389254e-07,0.9999997230770915
2011-12-14,^GSPC,1211.8199462890625,-0.0113483674229523,0.0167868137651524,-0.0053026257120384,-0.0117603735834316,,-0.1113148485953378,26.040000915527344,0.0032431003656709,1,2,Crisis,2.6510871760101505e-35,1.5124468667256245e-05,0.9999848755312611
2011-12-15,^GSPC,1215.75,0.0032431003656709,0.0165223927598218,-0.0178932256056354,-0.0097138038028126,,-0.1084327534558509,25.11000061035156,0.0032161498496299,1,2,Crisis,1.0682143211964635e-35,4.4315759995414734e-07,0.9999995568424382
2011-12-16,^GSPC,1219.6600341796875,0.0032161498496299,0.0161368816227308,-0.0328985365984919,-0.0074132433046449,,-0.105565339589943,24.290000915527344,-0.0117328256995602,0,2,Crisis,4.0346529563174115e-35,8.92758769787201e-08,0.9999999107240041
2011-12-19,^GSPC,1205.3499755859375,-0.0117328256995602,0.016228979444083,-0.038205282054379,-0.0198550001223614,,-0.1160595855601797,24.920000076293945,0.0298254232964261,1,2,Crisis,2.422675789955912e-37,1.1488990198386566e-07,0.9999998851099073
2011-12-20,^GSPC,1241.300048828125,0.0298254232964261,0.0171449930540589,-0.0157161462555518,0.0086169578228056,,-0.0896956885306936,23.21999931335449,0.0019495059855065,1,2,Crisis,3.388338267003323e-37,3.347191652788911e-09,0.9999999966526048
2011-12-21,^GSPC,1243.719970703125,0.0019495059855065,0.0169988768702226,-0.0252367484898353,0.0097926242937376,,-0.0879210448268518,21.43000030517578,0.0082655497531838,1,2,Crisis,1.0948305009627777e-33,8.679953468926249e-08,0.9999999132005579
2011-12-22,^GSPC,1254.0,0.0082655497531838,0.0156451789965104,0.0202587461627701,0.0173667928495393,,-0.0803822108440363,21.15999984741211,0.0090350526751894,1,2,Crisis,2.7611154548194044e-28,6.152571629877633e-05,0.999938474283807
2011-12-23,^GSPC,1265.3299560546875,0.0090350526751894,0.0156524552746735,0.0206743614522084,0.0255325533906838,,-0.0720734156779708,20.729999542236328,7.9107947907886e-05,1,2,Crisis,5.391819505153579e-26,3.615696242850185e-05,0.9999638430374284
2011-12-27,^GSPC,1265.4300537109375,7.9107947907886e-05,0.0152496259965784,0.0012502101954525,0.0249350011215117,,-0.0720000093100758,21.90999984741211,-0.0124780022540123,0,2,Crisis,1.6727887446776937e-23,3.302094534055263e-05,0.9999669790544954
2011-12-28,^GSPC,1249.6400146484375,-0.0124780022540123,0.0153230583994583,-0.0017095772406909,0.0113467062003749,,-0.0835795952856282,23.520000457763672,0.0107070874219539,1,2,Crisis,2.2158216165389074e-24,4.9542257523569866e-05,0.9999504577425656
2011-12-29,^GSPC,1263.02001953125,0.0107070874219539,0.0154235764481752,0.0041420887851102,0.0215529035757415,,-0.073767401897089,22.64999961853028,-0.004291336527923,0,2,Crisis,1.3828984384084973e-23,0.0008921046188249531,0.9991078953811736
