ticker,rows,accuracy,precision,recall,f1,strategy_sharpe,max_drawdown,avg_daily_return,trade_rate,model_family,routing
^NSEI,123.0,0.5609756097560976,0.5428571428571428,0.9047619047619048,0.6785714285714286,1.7838812192148112,-0.05985257376608588,0.0009124221263449268,0.8536585365853658,HistGradientBoosting,Baseline
^GSPC,252.0,0.503968253968254,0.5670731707317073,0.6326530612244898,0.5980707395498392,1.3342424304315312,-0.10997306483974756,0.0007367700823713735,0.6507936507936508,HistGradientBoosting,Hard MoE
^IXIC,252.0,0.49603174603174605,0.55625,0.6137931034482759,0.5836065573770491,1.9200260325460228,-0.08667369466426122,0.0010221408350917153,0.6349206349206349,HistGradientBoosting,Hard MoE
^NSEI,123.0,0.5203252032520326,0.52,0.8253968253968254,0.6380368098159509,1.910349814299456,-0.05354890980306759,0.0010379147969947333,0.8130081300813008,HistGradientBoosting,Hard MoE
^GSPC,252.0,0.49206349206349204,0.5703703703703704,0.5238095238095238,0.5460992907801419,2.1126610158747523,-0.039150288669377864,0.0008792761887517493,0.5357142857142857,HistGradientBoosting,Soft MoE
^IXIC,252.0,0.49603174603174605,0.55625,0.6137931034482759,0.5836065573770491,1.9200260325460228,-0.08667369466426122,0.0010221408350917153,0.6349206349206349,HistGradientBoosting,Soft MoE
^NSEI,123.0,0.5121951219512195,0.5148514851485149,0.8253968253968254,0.6341463414634146,1.772558227424844,-0.06170056084866227,0.0009678915423089015,0.8211382113821138,HistGradientBoosting,Soft MoE
^GSPC,252.0,0.5357142857142857,0.5824175824175825,0.7210884353741497,0.6443768996960486,1.3531033077922114,-0.0928753723849024,0.0007709810395011949,0.7222222222222222,XGBoost,Baseline
^IXIC,252.0,0.4722222222222222,0.5309278350515464,0.7103448275862069,0.6076696165191741,1.111661655967568,-0.150705272529427,0.0007962802343768995,0.7698412698412699,XGBoost,Baseline
^NSEI,123.0,0.5365853658536586,0.5288461538461539,0.873015873015873,0.6586826347305389,2.8648017744210272,-0.049611766978980176,0.0014060070871241706,0.8455284552845529,XGBoost,Baseline
^GSPC,252.0,0.49603174603174605,0.5555555555555556,0.6802721088435374,0.6116207951070336,0.7036312536929025,-0.10563055362972484,0.0004279251524788041,0.7142857142857143,XGBoost,Hard MoE
^IXIC,252.0,0.503968253968254,0.5595238095238095,0.6482758620689655,0.6006389776357828,1.6905614021627025,-0.07996256790280776,0.0010590273144490045,0.6666666666666666,XGBoost,Hard MoE
^NSEI,123.0,0.5447154471544715,0.5339805825242718,0.873015873015873,0.6626506024096386,1.9595067775484556,-0.05398299102631854,0.0010443113729211282,0.8373983739837398,XGBoost,Hard MoE
^GSPC,252.0,0.49206349206349204,0.5637583892617449,0.5714285714285714,0.5675675675675675,1.799987854466111,-0.06831767847804748,0.0008745139108504461,0.5912698412698413,XGBoost,Soft MoE
^IXIC,252.0,0.503968253968254,0.5595238095238095,0.6482758620689655,0.6006389776357828,1.6905614021627025,-0.07996256790280776,0.0010590273144490045,0.6666666666666666,XGBoost,Soft MoE
^NSEI,123.0,0.5447154471544715,0.5339805825242718,0.873015873015873,0.6626506024096386,1.9595067775484556,-0.05398299102631854,0.0010443113729211282,0.8373983739837398,XGBoost,Soft MoE
^GSPC,252.0,0.503968253968254,0.5705128205128205,0.6054421768707483,0.5874587458745875,1.2156822224762616,-0.059341158794694926,0.000595518152052997,0.6190476190476191,LightGBM,Baseline
^IXIC,252.0,0.4801587301587302,0.5388888888888889,0.6689655172413793,0.5969230769230769,1.2597868691486458,-0.130768991110066,0.0008351195335773228,0.7142857142857143,LightGBM,Baseline
^NSEI,123.0,0.5528455284552846,0.5408163265306123,0.8412698412698413,0.6583850931677019,1.2022947509550224,-0.06762998140193377,0.0006346864070273696,0.7967479674796748,LightGBM,Baseline
^GSPC,252.0,0.5,0.5668789808917197,0.6054421768707483,0.5855263157894737,1.114219412280967,-0.10854944258541621,0.0006507446772343169,0.623015873015873,LightGBM,Hard MoE
^IXIC,252.0,0.5079365079365079,0.5652173913043478,0.6275862068965518,0.5947712418300654,2.1383235657098023,-0.09187626165881924,0.001201537833037436,0.6388888888888888,LightGBM,Hard MoE
^NSEI,123.0,0.5365853658536586,0.5306122448979592,0.8253968253968254,0.6459627329192547,2.1977998807451824,-0.05524987139130766,0.0011438229965852957,0.7967479674796748,LightGBM,Hard MoE
^GSPC,252.0,0.47619047619047616,0.5590551181102362,0.48299319727891155,0.5182481751824818,2.064917852319983,-0.037529539762551356,0.0008421120191736654,0.503968253968254,LightGBM,Soft MoE
^IXIC,252.0,0.5079365079365079,0.5652173913043478,0.6275862068965518,0.5947712418300654,2.1383235657098023,-0.09187626165881924,0.001201537833037436,0.6388888888888888,LightGBM,Soft MoE
^NSEI,123.0,0.5365853658536586,0.5306122448979592,0.8253968253968254,0.6459627329192547,2.1977998807451824,-0.05524987139130766,0.0011438229965852957,0.7967479674796748,LightGBM,Soft MoE
