Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX
Date,,,,,,,,,,,,,,,,,,,,
2015-02-19,2097.449951171875,4924.7001953125,8895.2998046875,15.289999961853027,2102.1298828125,4929.52978515625,8913.4501953125,16.219999313354492,2090.7900390625,4900.6298828125,8794.4501953125,15.100000381469727,2099.25,4901.509765625,8883.0498046875,16.110000610351562,3247100000.0,1592890000.0,213300.0,0.0
2015-02-20,2110.300048828125,4955.97021484375,8833.599609375,14.300000190734863,2110.610107421875,4957.02001953125,8899.9501953125,16.290000915527344,2085.43994140625,4905.58984375,8816.2998046875,14.270000457763672,2097.64990234375,4919.77978515625,8895.5,15.729999542236328,3281600000.0,1761140000.0,197600.0,0.0
2015-02-23,2109.659912109375,4960.97021484375,8754.9501953125,14.5600004196167,2110.050048828125,4960.97021484375,8869.0,15.479999542236328,2103.0,4939.56005859375,8736.099609375,14.489999771118164,2109.830078125,4953.10009765625,8856.849609375,15.050000190734863,3093680000.0,1754850000.0,139600.0,0.0
2015-02-24,2115.47998046875,4968.1201171875,8762.099609375,13.6899995803833,2117.93994140625,4971.18017578125,8800.5,14.630000114440918,2105.8701171875,4945.14013671875,8726.75,13.529999732971191,2109.10009765625,4956.2099609375,8772.900390625,14.5,3199840000.0,1834890000.0,149800.0,0.0
2015-02-25,2113.860107421875,4967.14013671875,8767.25,13.84000015258789,2119.590087890625,4984.240234375,8840.650390625,14.0600004196167,2109.889892578125,4956.0,8751.400390625,12.859999656677246,2115.300048828125,4960.35986328125,8801.900390625,13.640000343322754,3312340000.0,1848560000.0,135200.0,0.0
2015-02-26,2110.739990234375,4987.89013671875,8683.849609375,13.90999984741211,2113.909912109375,4989.10986328125,8786.0498046875,14.569999694824219,2103.760009765625,4955.509765625,8669.4501953125,13.550000190734863,2113.909912109375,4969.27001953125,8779.0,13.550000190734863,3408690000.0,1905550000.0,217500.0,0.0
2015-02-27,2104.5,4963.52978515625,8844.599609375,13.34000015258789,2112.739990234375,4989.25,8856.9501953125,14.170000076293945,2103.75,4960.8701171875,8717.4501953125,13.289999961853027,2110.8798828125,4985.02978515625,8729.5,14.069999694824219,3547380000.0,1955590000.0,249500.0,0.0
2015-03-02,2117.389892578125,5008.10009765625,8956.75,13.039999961853027,2117.52001953125,5008.56982421875,8972.349609375,13.899999618530273,2104.5,4972.009765625,8885.4501953125,12.869999885559082,2105.22998046875,4973.43017578125,8953.849609375,13.899999618530273,3409490000.0,1931110000.0,218100.0,0.0
2015-03-03,2107.780029296875,4979.89990234375,8996.25,13.859999656677246,2115.760009765625,4996.66015625,9008.400390625,14.6899995803833,2098.260009765625,4956.06982421875,8925.5498046875,13.25,2115.760009765625,4990.7001953125,8962.849609375,13.350000381469727,3262300000.0,2018900000.0,177800.0,0.0
2015-03-04,2098.530029296875,4967.14013671875,8922.650390625,14.229999542236328,2107.719970703125,4973.31982421875,9119.2001953125,14.710000038146973,2094.489990234375,4938.89990234375,8893.9501953125,14.130000114440918,2107.719970703125,4961.240234375,9109.150390625,14.279999732971191,3421110000.0,1824830000.0,248400.0,0.0
